先生:せんせい | noun | teacher, master, doctor, with names of teachers, etc. as an honorific, previous existence
癖:くせ | noun | habit (often a bad habit, i.e. vice), tendency, peculiarity, idiosyncrasy, mannerism, crease, wrinkle, curl, kink
で:で | postposition | indicates location of action, at, in, indicates time of action, indicates means of action, cause of effect, by, and then, so, indicates continuing action, indicates certainty, emphasis, etc.
もう:もう | adverb | now, soon, shortly, before long, presently, already, yet, by now, (not) anymore, further, more, again, another, the other, interjection used to strengthen expression of an emotion (often exasperation)
手話:しゅわ | noun | sign language
も:も | postposition | too, also, in addition, as well, (not) either (in a negative sentence), both A and B, A as well as B, neither A nor B (in a negative sentence), even, as much as, as many as, as far as, as long as, no less than, no fewer than, even if, even though, although, in spite of, further, more, again, another...
ますく:ますく | noun | mask
も:も | postposition | too, also, in addition, as well, (not) either (in a negative sentence), both A and B, A as well as B, neither A nor B (in a negative sentence), even, as much as, as many as, as far as, as long as, no less than, no fewer than, even if, even though, although, in spite of, further, more, again, another...
要らない:いらない | verb | to need, to want
ん:ん | noun | yes, yeah, uh huh, negative verb ending used in informal speech (abbr. of negative verb ending "nu"), abbr. of particle "no", abbr. of particle "ni" (used especially when it precedes the verb "naru")
だった:だった | verb | be, is, indicates past or completed action, indicates light imperative
仕切り直し:しきりなおし | noun | getting poised again for charging, toeing the mark again, starting again, getting a fresh start, going back to square one
おはよう:おはよう | interjection | good morning
先生:せんせい | noun | teacher, master, doctor, with names of teachers, etc. as an honorific, previous existence
うん:うん | interjection | yes, yeah, uh huh
おはよう:おはよう | interjection | good morning
おはよう:おはよう | interjection | good morning
今:いま | adjective | now, the present time, just now, soon, immediately, (one) more
夜:よる | adjective | evening, night
だ:だ | verb | be, is, indicates past or completed action, indicates light imperative
けど:けど | postposition | but, however, although
挨拶:あいさつ | noun | greeting, greetings, salutation, salute, polite set phrase used when meeting or parting from somebody, polite set phrase used to express apology, sympathy, congratulations, etc., speech (congratulatory or appreciative), address, reply, response, revenge, retaliation, a fine thing to say (used as par...
は:は | postposition | topic marker particle, indicates contrast with another option (stated or unstated), adds emphasis
大事:だいじ | adjective | important, valuable, serious matter
だ:だ | verb | be, is, indicates past or completed action, indicates light imperative
から:から | postposition | from (e.g. time, place, numerical quantity), since, from (originator), by, because, since, out of (constituent, part), through (e.g. window, vestibule), after, since
ここ:ここ | pronoun | here (place physically close to the speaker, place pointed by the speaker while explaining), this place, these last (followed by a duration noun and a past sentence: time period before the present time of the speaker), these next ... (followed by a duration noun and a non past sentence: time period ...
は:は | postposition | topic marker particle, indicates contrast with another option (stated or unstated), adds emphasis
放置された:ほうちされた | verb | leave as is, leave to chance, leave alone, neglect
廃校:はいこう | noun | abolition or closing of a school
の:の | postposition | indicates possessive, nominalizes verbs and adjectives, substitutes for "ga" in subordinate phrases, (at sentence-end, falling tone) indicates a confident conclusion, (at sentence-end) indicates emotional emphasis, (at sentence-end, rising tone) indicates question
建物:たてもの | noun | building
だ:だ | verb | be, is, indicates past or completed action, indicates light imperative
けど:けど | postposition | but, however, although
隠れる:かくれる | verb | to hide, to be hidden, to conceal oneself, to disappear
に:に | postposition | at (place, time), in, on, during, to (direction, state), toward, into, for (purpose), because of (reason), for, with, by, from, as (i.e. in the role of), per, in, for, a (e.g. "once a month"), and, in addition to, if, although
は:は | postposition | topic marker particle, indicates contrast with another option (stated or unstated), adds emphasis
ちょうど:ちょうど | adverb | just, right, exactly
良い:よい | adjective | good, excellent, fine, nice, pleasant, agreeable, sufficient (can be used to turn down an offer), ready, prepared, profitable (e.g. deal, business offer, etc.), beneficial, OK
の:の | postposition | indicates possessive, nominalizes verbs and adjectives, substitutes for "ga" in subordinate phrases, (at sentence-end, falling tone) indicates a confident conclusion, (at sentence-end) indicates emotional emphasis, (at sentence-end, rising tone) indicates question
あと:あと | noun | behind, rear, after, later, after one's death, remainder, the rest, descendant, successor, heir, past, previous, more (e.g. five more minutes), left
一:いち | number | one, best, first, foremost, beginning, start, bottom string (on a shamisen, etc.)
週間:しゅうかん | suffix | week, weekly
くらい:くらい | postposition | approximately, about, around, or so, to (about) the extent that, (almost) enough that, so ... that ..., at least, as ... as ..., like
は:は | postposition | topic marker particle, indicates contrast with another option (stated or unstated), adds emphasis
ここ:ここ | pronoun | here (place physically close to the speaker, place pointed by the speaker while explaining), this place, these last (followed by a duration noun and a past sentence: time period before the present time of the speaker), these next ... (followed by a duration noun and a non past sentence: time period ...
に:に | postposition | at (place, time), in, on, during, to (direction, state), toward, into, for (purpose), because of (reason), for, with, by, from, as (i.e. in the role of), per, in, for, a (e.g. "once a month"), and, in addition to, if, although
いる:いる | verb | to need, to want
予定:よてい | noun | plans, arrangement, schedule, program, programme, expectation, estimate
で:で | postposition | indicates location of action, at, in, indicates time of action, indicates means of action, cause of effect, by, and then, so, indicates continuing action, indicates certainty, emphasis, etc.
みんな:みんな | pronoun | all, everyone, everybody, everything
忙しい:いそがしい | adjective | busy, hectic, occupied, engaged
みたい:みたい | adjective | -like, sort of, similar to, resembling
で:で | verb | be, is, indicates past or completed action, indicates light imperative
どこ:どこ | pronoun | where, what place, how much (long, far), what extent
か:か | postposition | indicates a question (sometimes rhetorical), or, whether or not, some- (e.g. something, someone), indicates doubt, uncertainty, etc., emphatic prefix, suffix forming adjectives or adverbs, in that way
に:に | postposition | at (place, time), in, on, during, to (direction, state), toward, into, for (purpose), because of (reason), for, with, by, from, as (i.e. in the role of), per, in, for, a (e.g. "once a month"), and, in addition to, if, although
行っちゃった:いっちゃった | verb | to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach, to proceed, to take place, to pass through, to come and go, to walk, to die, to pass away, to do (in a specific way), to stream, to flow, to continue, to have an orgasm, to come,...
食べ物:たべもの | noun | food
や:や | postposition | such things as (non-exhaustive list related to a specific time and place), and ... and, the minute (that) ..., no sooner than ..., as soon as, punctuational exclamation in haiku, renga, etc., interjection expressing surprise, hi, plain copula, yes, what?, indicates a question
飲み物:のみもの | noun | drink, beverage
は:は | postposition | topic marker particle, indicates contrast with another option (stated or unstated), adds emphasis
いっぱい:いっぱい | adverb | amount necessary to fill a container (e.g. cupful, spoonful, etc.), drink (usu. alcoholic), full, one squid, octopus, crab, etc., one boat, fully, to capacity, a lot, much, all of ..., the entire ...
置いてくれた:おいてくれた | verb | to put, to place, to leave (behind), to establish (an organization, a facility, a position, etc.), to set up, to appoint (someone to a certain position), to hire, to employ, to place (one's trust, one's faith, etc), to bear (in mind etc), to put down a tool (e.g. a pen) hence stopping what one is do...
けど:けど | postposition | but, however, although
だ:だ | verb | be, is, indicates past or completed action, indicates light imperative
から:から | postposition | from (e.g. time, place, numerical quantity), since, from (originator), by, because, since, out of (constituent, part), through (e.g. window, vestibule), after, since
こっそり:こっそり | adverb | stealthily, secretly
先生:せんせい | noun | teacher, master, doctor, with names of teachers, etc. as an honorific, previous existence
を:を | postposition | indicates direct object of action, indicates subject of causative expression, indicates an area traversed, indicates time (period) over which action takes place, indicates point of departure or separation of action, indicates object of desire, like, hate, etc.
呼んだ:よんだ | verb | to call out (to), to call, to invoke, to summon (a doctor, etc.), to invite, to designate, to name, to brand, to garner (support, etc.), to gather, to take as one's wife
の:の | postposition | indicates possessive, nominalizes verbs and adjectives, substitutes for "ga" in subordinate phrases, (at sentence-end, falling tone) indicates a confident conclusion, (at sentence-end) indicates emotional emphasis, (at sentence-end, rising tone) indicates question
ばれ:ばれ | verb | to leak out (a secret), to be exposed (a lie, improper behaviour, etc.) (behavior)
ちゃ:ちゃ | postposition | tea, tea plant (Camellia sinensis), tea preparation, making tea, brown, mockery
だめ:だめ | adjective | no good, not serving its purpose, useless, broken, hopeless, wasted, in vain, purposeless, cannot, must not, not allowed
先生:せんせい | noun | teacher, master, doctor, with names of teachers, etc. as an honorific, previous existence
は:は | postposition | topic marker particle, indicates contrast with another option (stated or unstated), adds emphasis
秘密:ひみつ | noun | secret, secrecy, confidentiality, privacy, secret, mystery, esoteric teachings
の:の | postposition | indicates possessive, nominalizes verbs and adjectives, substitutes for "ga" in subordinate phrases, (at sentence-end, falling tone) indicates a confident conclusion, (at sentence-end) indicates emotional emphasis, (at sentence-end, rising tone) indicates question
友達:ともだち | noun | friend, companion
なる:なる | verb | to become, to get, to grow, to be, to reach, to attain, to result in, to prove to be, to consist of, to be composed of, to succeed, to be complete, to change into, to be exchanged for, to play a role, to be promoted, to do ...
ほど:ほど | postposition | degree, extent, bounds, limit, indicates approx. amount or maximum, upper limit
秘密:ひみつ | noun | secret, secrecy, confidentiality, privacy, secret, mystery, esoteric teachings
の:の | postposition | indicates possessive, nominalizes verbs and adjectives, substitutes for "ga" in subordinate phrases, (at sentence-end, falling tone) indicates a confident conclusion, (at sentence-end) indicates emotional emphasis, (at sentence-end, rising tone) indicates question
友達:ともだち | noun | friend, companion
]そう:]そう | noun | 
秘密:ひみつ | noun | secret, secrecy, confidentiality, privacy, secret, mystery, esoteric teachings
みんな:みんな | pronoun | all, everyone, everybody, everything
に:に | postposition | at (place, time), in, on, during, to (direction, state), toward, into, for (purpose), because of (reason), for, with, by, from, as (i.e. in the role of), per, in, for, a (e.g. "once a month"), and, in addition to, if, although
ばれる:ばれる | verb | to leak out (a secret), to be exposed (a lie, improper behaviour, etc.) (behavior)
と:と | postposition | if, when, and, with, particle used for quoting (with speech, thoughts, etc.), quoting particle, promoted pawn, indicates question (sentence end)
困る:こまる | verb | to be troubled, to be worried, to be bothered, to be embarrassed, to be stumped
良い:よい | adjective | good, excellent, fine, nice, pleasant, agreeable, sufficient (can be used to turn down an offer), ready, prepared, profitable (e.g. deal, business offer, etc.), beneficial, OK
じゃあ:じゃあ | postposition | then, well, so, well then, combination of 'de' and 'wa' particles, plain copula
先生:せんせい | noun | teacher, master, doctor, with names of teachers, etc. as an honorific, previous existence
何:なに | pronoun | what, how many, you-know-what, that, whatsit, what's the expression, what do you call them, what?, hey!
を:を | postposition | indicates direct object of action, indicates subject of causative expression, indicates an area traversed, indicates time (period) over which action takes place, indicates point of departure or separation of action, indicates object of desire, like, hate, etc.
して:して | verb | to do, to cause to become, to make (into), to turn (into), to serve as, to act as, to work as, to wear (clothes, a facial expression, etc.), to judge as being, to view as being, to think of as, to treat as, to use as, to decide on, to choose, to be sensed (of a smell, noise, etc.), to be (in a state...
遊ぼう:あそぼう | verb | to play, to enjoy oneself, to have a good time, to mess about (with alcohol, gambling, philandery, etc.), to be idle, to do nothing, to be unused, to go to (for pleasure or for study), to intentionally throw a ball to lower the batter's concentration
か:か | postposition | indicates a question (sometimes rhetorical), or, whether or not, some- (e.g. something, someone), indicates doubt, uncertainty, etc., emphatic prefix, suffix forming adjectives or adverbs, in that way
うーん:うーん | interjection | hmm, well
良い:よい | adjective | good, excellent, fine, nice, pleasant, agreeable, sufficient (can be used to turn down an offer), ready, prepared, profitable (e.g. deal, business offer, etc.), beneficial, OK
こと:こと | noun | thing, matter, incident, occurrence, event, something serious, trouble, crisis, circumstances, situation, state of affairs, work, business, affair, after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to, nominalizing suffix, pretending to ..., playin...
思いついた:おもいついた | verb | to think of, to hit upon, to come into one's mind, to be struck with an idea
学校ごっこ:がっこうごっこ | noun | 
学校ごっこ:がっこうごっこ | noun | 
教室:きょうしつ | noun | classroom, department, laboratory, single-room school, small school
で:で | postposition | indicates location of action, at, in, indicates time of action, indicates means of action, cause of effect, by, and then, so, indicates continuing action, indicates certainty, emphasis, etc.
先生:せんせい | noun | teacher, master, doctor, with names of teachers, etc. as an honorific, previous existence
の:の | postposition | indicates possessive, nominalizes verbs and adjectives, substitutes for "ga" in subordinate phrases, (at sentence-end, falling tone) indicates a confident conclusion, (at sentence-end) indicates emotional emphasis, (at sentence-end, rising tone) indicates question
授業:じゅぎょう | noun | lesson, class work, teaching, instruction
を:を | postposition | indicates direct object of action, indicates subject of causative expression, indicates an area traversed, indicates time (period) over which action takes place, indicates point of departure or separation of action, indicates object of desire, like, hate, etc.
受ける:うける | verb | to receive, to get, to catch (e.g. a ball), to be struck by (wind, waves, sunlight, etc.), to sustain (damage), to incur (a loss), to suffer (an injury), to feel (influence), to undergo (e.g. surgery), to take (a test), to accept (a challenge), to be given (e.g. life, talent), to follow, to succeed,...
今:いま | adjective | now, the present time, just now, soon, immediately, (one) more
まで:まで | postposition | until (a time), till, to, up to, to (a place), as far as, to (an extent), up to, so far as, even, only, merely
に:に | postposition | at (place, time), in, on, during, to (direction, state), toward, into, for (purpose), because of (reason), for, with, by, from, as (i.e. in the role of), per, in, for, a (e.g. "once a month"), and, in addition to, if, although
一:いち | number | one, best, first, foremost, beginning, start, bottom string (on a shamisen, etc.)
度:ど | suffix | degree (angle, temperature, scale, etc.), counter for occurrences and times, strength (of alcohol)
も:も | postposition | too, also, in addition, as well, (not) either (in a negative sentence), both A and B, A as well as B, neither A nor B (in a negative sentence), even, as much as, as many as, as far as, as long as, no less than, no fewer than, even if, even though, although, in spite of, further, more, again, another...
無かった:なかった | adjective | nonexistent, not being (there), unpossessed, unowned, not had, unique, indicates negation, inexperience, unnecessariness or impossibility, not ..., to not be..., to have not ...
から:から | postposition | from (e.g. time, place, numerical quantity), since, from (originator), by, because, since, out of (constituent, part), through (e.g. window, vestibule), after, since
ここ:ここ | pronoun | here (place physically close to the speaker, place pointed by the speaker while explaining), this place, these last (followed by a duration noun and a past sentence: time period before the present time of the speaker), these next ... (followed by a duration noun and a non past sentence: time period ...
も:も | postposition | too, also, in addition, as well, (not) either (in a negative sentence), both A and B, A as well as B, neither A nor B (in a negative sentence), even, as much as, as many as, as far as, as long as, no less than, no fewer than, even if, even though, although, in spite of, further, more, again, another...
昔:むかし | adjective | olden days, former
は:は | postposition | topic marker particle, indicates contrast with another option (stated or unstated), adds emphasis
学校:がっこう | noun | school
だった:だった | verb | be, is, indicates past or completed action, indicates light imperative
みたい:みたい | adjective | -like, sort of, similar to, resembling
で:で | verb | be, is, indicates past or completed action, indicates light imperative
教室:きょうしつ | noun | classroom, department, laboratory, single-room school, small school
が:が | postposition | indicates sentence subject (occasionally object), indicates possessive (esp. in literary expressions), but, however, still, and
ある:ある | verb | to be (usu. of inanimate objects), to exist, to live, to have, to be located, to be equipped with, to happen, to come about
ここ:ここ | pronoun | here (place physically close to the speaker, place pointed by the speaker while explaining), this place, these last (followed by a duration noun and a past sentence: time period before the present time of the speaker), these next ... (followed by a duration noun and a non past sentence: time period ...
に:に | postposition | at (place, time), in, on, during, to (direction, state), toward, into, for (purpose), because of (reason), for, with, by, from, as (i.e. in the role of), per, in, for, a (e.g. "once a month"), and, in addition to, if, although
生徒:せいと | noun | pupil
も:も | postposition | too, also, in addition, as well, (not) either (in a negative sentence), both A and B, A as well as B, neither A nor B (in a negative sentence), even, as much as, as many as, as far as, as long as, no less than, no fewer than, even if, even though, although, in spite of, further, more, again, another...
先生:せんせい | noun | teacher, master, doctor, with names of teachers, etc. as an honorific, previous existence
も:も | postposition | too, also, in addition, as well, (not) either (in a negative sentence), both A and B, A as well as B, neither A nor B (in a negative sentence), even, as much as, as many as, as far as, as long as, no less than, no fewer than, even if, even though, although, in spite of, further, more, again, another...
いる:いる | verb | to need, to want
行こう:いこう | verb | to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach, to proceed, to take place, to pass through, to come and go, to walk, to die, to pass away, to do (in a specific way), to stream, to flow, to continue, to have an orgasm, to come,...
ついて行く:ついていく | verb | to accompany, to follow
これ:これ | pronoun | this (indicating an item near the speaker, the action of the speaker, or the current topic), this person (usu. indicating someone in one's in-group), now, here, I (me), certainly
は:は | postposition | topic marker particle, indicates contrast with another option (stated or unstated), adds emphasis
ちょっと:ちょっと | adverb | just a minute, short time, just a little, somewhat, easily, readily, rather, (will not) easily, hey!
座れそう:すわれそう | verb | 
に:に | postposition | at (place, time), in, on, during, to (direction, state), toward, into, for (purpose), because of (reason), for, with, by, from, as (i.e. in the role of), per, in, for, a (e.g. "once a month"), and, in addition to, if, although
も:も | postposition | too, also, in addition, as well, (not) either (in a negative sentence), both A and B, A as well as B, neither A nor B (in a negative sentence), even, as much as, as many as, as far as, as long as, no less than, no fewer than, even if, even though, although, in spite of, further, more, again, another...
ない:ない | adjective | not, emphatic suffix
ね:ね | postposition | indicates emphasis, agreement, request for confirmation, etc., is it so, hey, come on, listen, not
うん:うん | interjection | yes, yeah, uh huh
雰囲気:ふんいき | noun | atmosphere (e.g. musical), mood, ambience, ambiance
だけ:だけ | postposition | only, just, merely, simply, no more than, nothing but, alone, as (e.g. as soon as, as much as), worth
でも:でも | postposition | but, however, though, nevertheless, still, yet, even so, even, however, no matter how, even if, even though, ... or something, either ... or ..., neither ... nor ..., pseudo-, quack, in-name-only, for lack of anything better to do
味わいたかった:あじわいたかった | verb | to taste, to savor, to relish
けど:けど | postposition | but, however, although
無理そう:むりそう | adjective | 
仕方ない:しかたない | adjective | way, method, means, resource, course
学校ごっこ:がっこうごっこ | noun | 
は:は | postposition | topic marker particle, indicates contrast with another option (stated or unstated), adds emphasis
やめる:やめる | verb | to stop (an activity), to cease, to discontinue, to end, to quit, to cancel, to abandon, to give up, to abolish, to abstain, to refrain
うーん:うーん | interjection | hmm, well
他:た | noun | other (esp. people and abstract matters)
に:に | postposition | at (place, time), in, on, during, to (direction, state), toward, into, for (purpose), because of (reason), for, with, by, from, as (i.e. in the role of), per, in, for, a (e.g. "once a month"), and, in addition to, if, although
何:なに | pronoun | what, how many, you-know-what, that, whatsit, what's the expression, what do you call them, what?, hey!
が:が | postposition | indicates sentence subject (occasionally object), indicates possessive (esp. in literary expressions), but, however, still, and
ある:ある | verb | to be (usu. of inanimate objects), to exist, to live, to have, to be located, to be equipped with, to happen, to come about
か:か | postposition | indicates a question (sometimes rhetorical), or, whether or not, some- (e.g. something, someone), indicates doubt, uncertainty, etc., emphatic prefix, suffix forming adjectives or adverbs, in that way
な:な | postposition | (sentence end, mainly masc.) indicates emotion or emphasis, (used with masu stem verb) command, (used with dictionary form verb) prohibition
うん:うん | interjection | yes, yeah, uh huh
先生:せんせい | noun | teacher, master, doctor, with names of teachers, etc. as an honorific, previous existence
みんな:みんな | pronoun | all, everyone, everybody, everything
が:が | postposition | indicates sentence subject (occasionally object), indicates possessive (esp. in literary expressions), but, however, still, and
帰ってくる:かえってくる | verb | to return, to come home, to go home, to go back, to leave, to get home, to get to home plate
って:って | postposition | casual quoting particle, indicates supposition, if ... then, indicates a rhetorical question, indicates certainty, insistence, etc.
今日:きょう | adjective | today, this day, these days, recently, nowadays
